time,mode,accuracy,diff queries,privacy
0.2,standard,10,0,0
16.48,standard,34.8,16,2761.955688
32.96,standard,44.8,16,5547.446369
49.44,standard,49.2,16,8330.487811
65.92,standard,54.3,16,11178.77536
82.4,standard,57.9,16,13983.3444
98.88,standard,61.9,16,16796.26861
115.36,standard,65.1,16,19591.65255
131.84,standard,65.6,16,22378.06004
148.32,standard,66,16,25147.08036
0.2,copycat,10,0,0
16.48,copycat,23.3,16,3280.036548
32.96,copycat,26.5,16,6572.335217
49.44,copycat,35.1,16,9862.520994
65.92,copycat,38.4,16,13142.48781
82.4,copycat,40.9,16,16443.35926
98.88,copycat,48.3,16,19699.8516
115.36,copycat,50.7,16,23056.50532
131.84,copycat,54.7,16,26350.90979
148.32,copycat,56.3,16,29584.3846
164.8,copycat,59.7,16,32925.87821
181.28,copycat,64.5,16,36125.45322
197.76,copycat,61.4,16,39383.1239
214.24,copycat,63.3,16,42643.75584
230.72,copycat,64.2,16,45963.19852
247.2,copycat,62.9,16,49197.28521
263.68,copycat,63.7,16,52506.84533
280.16,copycat,67.6,16,55821.07221
